id,name,type,rate,accuracy,range,stat,damage,effect1,effect2,contest
121,Detect,Fighting,Center,0,Self,,,"No Target, Intercept","If the user is hit by a Move, instead you are not hit by the Move. You do not take any damage nor are you affected by any of the Moveâ€™s effects.<br/>Grants: Aura","Cool - None - Inversed Appeal"
122,"Double Kick",Fighting,EOT,3,Melee,ATK,1d10+4,"1 Target, Scatter","Double Kick can hit up to 2 times. If Double Kick misses its first target, you may still use it a second time.","Cool - 2d4 - Reliable"
123,"Drain Punch",Fighting,Battle,2,Melee,ATK,3d10+12,"1 Target","After the target takes damage, the user gains HP equal to half of the damage they dealt to the target.","Beauty - 1d4 - Good Show!"
124,"Dynamic Punch",Fighting,Battle,12,Melee,ATK,4d12+16,"1 Target","Dynamic Punch Confuses the target.","Cool - 2d4 - Round Ender"
125,"Final Gambit",Fighting,Center,2,Melee,,,"1 Target","Final Gambit lowers the user to 0 HP, and deals 1 point of damage to the foe for every point of health lost this way. Final Gambit does not cause items to activate.","Tough - None - Big Show"
126,"Flying Press",Fighting,Battle,3,Melee,ATK,3d10+12,"1 Target","When applying weakness and resistance, treat Flying Press as both Fighting and Flying type.","Beauty - 1d4 - Good Show!"
127,"Focus Blast",Fighting,Battle,6,"Ranged (10)",SATK,5d12+18,"1 Target","Focus Blast lower the targetâ€™s Special Defense 1 Combat Stage on 18-20 during Accuracy Check.<br/>Grants: Aura","Cool - 2d4 - Round Starter"
128,"Focus Punch",Fighting,EOT,2,Melee,ATK,7d10+28,"1 Target, Push","Once you declare the use of Focus Punch the userâ€™s turn ends. If you are not hit by a damaging Move until your next turn you may use Focus Punchâ€™s damage and effects. The target is Pushed 10-meters and it takes an additional 2d12 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d12. If the user is hit by a damaging Move before itâ€™s next turn, it may not use a Move on that turn.","Tough - 1d4 - Special Attention"
129,"Force Palm",Fighting,EOT,2,Melee,ATK,2d10+8,"1 Target","Force Palm Paralyzes the target on 18-20 during Accuracy Check.<br/>Grants: Aura","Cool - 2d4 - Round Ender"
130,"Hammer Arm",Fighting,Battle,3,Melee,ATK,4d12+16,"1 Target","The user lowers their Speed 1 Combat Stage.","Cool - 2d4 - Slow Set"
131,"High Jump Kick",Fighting,Battle,3,Melee,ATK,5d12+22,"1 Target, Pass","If High Jump Kick misses, roll 4d10 and subtract the result from the userâ€™s HP. Do not apply weakness, resistance or stats.","Cool - 3d4 - No Effect"
132,"Jump Kick",Fighting,EOT,3,Melee,ATK,2d10+8,"1 Target, Pass","If Jump Kick misses, roll 2d10 and subtract the result from the userâ€™s HP. Do not apply weakness, resistance or stats.","Cool - 3d4 - No Effect"
133,"Karate Chop",Fighting,At-Will,2,Melee,ATK,2d8+6,"1 Target","Karate Chop is a Critical Hit on 17-20 during Accuracy Check.","Tough - 3d4 - No Effect"
134,"Low Kick",Fighting,Battle,2,Melee,ATK,"See Effect","1 Target, Weight Class","If the target is in Weight Class 1, use 1d10 for Damage Dice Roll. If the target is in Weight Class 2, use 1d10+5. If the target is in Weight Class 3, use 1d10+10. If the target is in Weight Class 4, use 2d10+12. If the target is in Weight Class 5, use 3d10+14. If the target is in Weight Class 6, use 5d10+16 for damage.","Tough - 3d4 - No Effect"
135,"Low Sweep",Fighting,EOT,2,Melee,ATK,1d10+10,"1 Target","Lowers the targetâ€™s Speed 1 Combat Stage.","Tough - 3d4 - No Effect"
136,"Mach Punch",Fighting,At-Will,2,Melee,ATK,1d12+6,"1 Target, Interrupt","If a foe wants to declare a Move, you may instead use Mach Punch on their turn before they can use their Move.","Cool - 2d4 - Quick Set"
137,"Mat Block",Fighting,Battle,0,Self,,,"No Target","Mat Block can only be used on the first turn of an Encounter, or on the first turn the Pokemon could act after coming out of a Poke Ball. Until the userâ€™s next turn, if any adjacent allies are hit by a Move with a Damage Dice Roll, instead they are not hit by the Move. They do not take any damage nor are they affected by any of the Moveâ€™s effects.","Cool - None - Inversed Appeal"
138,"Power-Up Punch",Fighting,At-Will,2,Melee,ATK,1d12+6,"1 Target","Power-Up Punch raises the userâ€™s Attack 1 Combat Stage.","Tough - 3d4 - No Effect"
139,"Quick Guard",Fighting,Center,0,Self,,,"1 Target, Intercept","Quick Guard prevents the user and allies from being targeted by Moves used as an Interrupt or Intercept for one round. For that round Interrupt or Intercept attacks can only target you, or other allies using Quick Guard.","Cool - None - Inversed Appeal"
140,Revenge,Fighting,Battle,2,Melee,ATK,2d10+8,"1 Target","If the target damaged Revengeâ€™s user on their last turn, deals 4d12+16 instead during Damage Dice Roll.","Tough - 2d4 - Final Appeal"
141,Reversal,Fighting,EOT,2,Melee,ATK,"See Effect","1 Target","If the user has more than 70% of its total HP, use 1d10+5 for Damage Dice Roll. If the user has more than 36% of its total HP, use 2d10+10. If the user has more than 21% of its total HP, use 3d10+10. If the user has more than 6% of its total HP, use 4d10+10. If the user has 1-5% of its total HP, use 5d10+20.","Cool - 2d4 - Final Appeal"
142,"Rock Smash",Fighting,EOT,2,Melee,ATK,1d12+6,"1 Target","Rock Smash lowers the targetâ€™s Defense 1 Combat Stage on 17-20 during Accuracy Check.","Tough - 2d4 - Round Ender"
143,"Rolling Kick",Fighting,EOT,4,Melee,ATK,2d10+8,"1 Target, Dash","Rolling Kick Flinches the target on 15-20 during Accuracy Check.","Cool - 3d4 - No Effect"
144,"Sacred Sword",Fighting,Battle,2,Melee,ATK,3d12+14,"1 Target, Pass","Sacred Swordâ€™s Accuracy Check may not be modified.","Cool - 3d4 - No Effect"
145,"Secret Sword",Fighting,Battle,2,"Ranged (15)",SATK,3d12+14,"1 Target","When calculating damage, the target must use their Defense against Secret Sword.","Cool - 3d4 - No Effect"
146,"Seismic Toss",Fighting,Center,2,Melee,,,"1 Target","The target loses HP equal to the level of Seismic Tossâ€™ user. Do not apply weakness or resistance. Do not apply stats.","Tough - 3d4 - No Effect"
147,"Sky Uppercut",Fighting,EOT,3,Melee,ATK,3d12+14,"1 Target, Push","The target is Pushed 2-meters. If the target is airborne, Sky Uppercut deals an additional 2d10. If the target is airborne as a result of Fly or Sky Drop, Sky Uppercut cannot miss as long as you are in a space adjacent to the airborne target.","Cool - 2d4 - Round Starter"
148,"Storm Throw",Fighting,Battle,2,Melee,ATK,20,"1 Target","Storm Throw is a Critical Hit. Do not double Storm Throwâ€™s Damage Dice Roll for Critical Hits.","Cool - 3d4 - No Effect"
149,Submission,Fighting,At-Will,6,Melee,ATK,3d10+12,"1 Target, Recoil 1/4","After Submission deals damage, Recoil.","Cool - 3d4 - No Effect"
150,Superpower,Fighting,Battle,2,Melee,ATK,5d12+18,"1 Target, Dash, Push","Superpower lowers the userâ€™s Attack 1 Comabt Stage and Defense by 1 Combat Stage. The target is Pushed 6-meters and it takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6.","Tough - 2d4 - Round Ender"
151,"Triple Kick",Fighting,Battle,3,Melee,ATK,1d6+1,"1 Target, Scatter","Triple Kick can hit up to 3 times. If Triple Kick misses its first or second target, you may still use it a second and third time. For the third use of Triple Kick, if you successfully hit the same target for the first two uses of Triple Kick use 3d12+8 for Triple Kickâ€™s Damage Dice Roll.","Cool - 3d4 - Reliable"
152,"Vacuum Wave",Fighting,At-Will,2,"Ranged (6)",SATK,1d12+6,"1 Target, Interrupt","If a foe wants to declare a Move, you may instead use Vacuum Wave on their turn before they can use their Move.<br/>Grants: Aura","Smart - 2d4 - Quick Set"
153,"Vital Throw",Fighting,Battle,0,Melee,ATK,3d8+10,"1 Target, Push","Vital Throw may only be used if the user was targeted by a Move on a foeâ€™s last turn while the foe was adjacent. Vital Throw can only target that foe. Vital Throw cannot miss. The target is Pushed 5-meters and it takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6.","Cool - 2d4 - Slow Set"
154,"Wake-Up Slap",Fighting,Battle,2,Melee,ATK,2d8+6,"1 Target","If the target is Asleep, Wake-Up Slap does an additional 5d10 for Damage Dice Roll and cures the target of Sleep.","Smart - None - Inversed Appeal"
155,"Blast Burn",Fire,Center,4,"Ranged (15)",SATK,7d10+28,"Target Area, Blast, Exhaust","Blast Burn creates a 3-meter Blast. On Miss, Blast Burn deals the userâ€™s Special Attack instead to all possible targets.","Beauty - 2d4 - Seen Nothing Yet"
156,"Blaze Kick",Fire,Battle,4,Melee,ATK,3d12+14,"1 Target, Push","Blaze Kick Pushes the target 2-meters. Blaze Kick Burns the target on 19-20 during Accuracy Check. Blaze Kick is a Critical Hit on 16-20 during Accuracy Check.","Beauty - 2d4 - Round Starter"
157,"Blue Flare",Fire,Center,5,"Ranged (10)",SATK,5d12+22,"1 Target","Blue Flare Burns the target on 17-20 during Accuracy Check.","Beauty - 3d4 - No Effect"
158,Ember,Fire,At-Will,2,"Ranged (8)",SATK,1d12+6,"1 Target","Ember Burns the target on 18-20 during Accuracy Check.<br/>Grants: Firestarter","Beauty - 3d4 - No Effect"
159,Eruption,Fire,Center,4,"Ranged (10)",SATK,7d10+28,"No Target, Burst","Eruption creates a 10-meter Burst. Eruption may not be performed unless the user has at least 90% of its HP.","Beauty - 2d4 - Round Ender"
160,"Fiery Dance",Fire,Battle,2,"Ranged (4)",SATK,3d10+12,"1 Target, Spirit Surge","Fiery Dance raises the userâ€™s Special Attack by 1 Combat Stage on 11-20 on Accuracy Check.","Cool - 2d4 - Round Ender"
161,"Fire Blast",Fire,Battle,6,"Ranged (10)",SATK,5d12+18,"1 Target, Blast","Fire Blast creates a 2-meter Blast. Fire Blast burns all Legal Targets on 19-20 during Accuracy Check.<br/>Grants: Firestarter","Beauty - 2d4 - Round Starter"
162,"Fire Fang",Fire,EOT,3,Melee,ATK,3d8+10,"1 Target","Fire Fang Burns or Flinches on 18-19 during Accuracy Check; flip a coin to determine whether the foe gets Burned or Flinches. On 20 during Accuracy Check, the foe is Burned and Flinches.","Beauty - 3d4 - No Effect"
163,"Fire Pledge",Fire,EOT,2,"Ranged (6)",SATK,2d8+6,"1 Target, Pledge","If used on the same turn as Water Pledge, all secondary effects of Moves are activated at a -3 during the Accuracy Check for 1d4+1 turns. If used on the same turn as Grass Pledge, all foes within 20 meters of the user lose 1/8th of their max HP at the end of each round of combat for 1d4+1 turns.","Beauty - None - Torrential Appeal"
164,"Fire Punch",Fire,EOT,2,Melee,ATK,3d10+12,"1 Target","Fire Punch Burns the target on 19-20 during Accuracy Check.","Beauty - 2d4 - Round Starter"
165,"Fire Spin",Fire,EOT,4,"Ranged (10)",SATK,1d12+6,"1 Target, Trap","Fire Spin Traps the target for 1d4+1 turns. At the beginning of the targetâ€™s turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Fire Spin may not trap more then one target at a time.<br/>Grants: Firestarter","Beauty - None - Torrential Appeal"
166,"Flame Burst",Fire,EOT,2,"Ranged (6)",SATK,3d8+10,"No Target, Blast","Flame Burst creates a 4-meter Blast. All Legal Targets, not including the central taget, hit in the Blast lose 1/16th of their max HP instead of taking the Damage Dice Roll for damage.<br/>Grants: Firestarter","Beauty - 2d4 - Round Starter"
167,"Flame Charge",Fire,EOT,2,Melee,ATK,2d8+6,"1 Target","Raise the userâ€™s Speed 1 Combat Stage.","Tough - 2d4 - Excitement"
168,"Flame Wheel",Fire,At-Will,2,Melee,ATK,2d10+8,"1 Target, Dash","Flame Wheel Burns the target on 19-20 during Accuracy Check.","Beauty - 2d4 - Reliable"
169,Flamethrower,Fire,Battle,2,"Ranged (4)",SATK,4d12+16,"1 Target, Column","Flamethrower creates a Column 1 meter wide. Flamethrower Burns the target on 19-20 during Accuracy Check.<br/>Grants: Firestarter","Beauty - 2d4 - Round Starter"
170,"Flare Blitz",Fire,EOT,2,Melee,ATK,5d12+18,"1 Target, Dash, Push, Recoil 1/3","The target is pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. Flare Blitz Burns the target on 19-20 during Accuracy Check. After Flare Blitz deals damage, Recoil.","Smart - 2d4 - Seen Nothing Yet"
171,"Fusion Flare",Fire,Center,2,"Ranged (10)",SATK,4d12+16,"1 Target, Column","Fusion Flare creates a 4-meter Column. If an opponent in this, or the last, round of the encounter used Fusion Bolt, Fusion Flare deals an additional 8d12 in Damage Dice Roll.","Beauty - 2d4 - Seen Nothing Yet"
172,"Heat Crash",Fire,Battle,2,Melee,ATK,"See Effect","1 Target, Dash, Weight Class","If the user is in the same Weight Class as the target, use 1d10 for Damage Dice Roll; if the user is one Weight Class higher than the target, use 1d10+10; if the user is two Weight Classes higher than the target, use 2d12+12; if three classes, 3d10+14; if four classes, 5d10+16.","Tough - 2d4 - Incentives"
173,"Heat Wave",Fire,Battle,4,"Ranged (3)",SATK,4d12+16,"No Target, Burst","Heat Wave creates a 3-meter burst. Heat Wave Burns all Legal Targets on 18-20 during Accuracy Check.","Beauty - 2d4 - Round Starter"
174,Incinerate,Fire,EOT,2,"Ranged (6)",SATK,1d10+4,"1 Target","If the target is holding a Berry, the Berry is destroyed, without its ability activating.","Beauty - 3d4 - No Effect"
175,Inferno,Fire,Center,11,"Ranged (2)",SATK,4d12+16,"No Target, Blast","Inferno creates a 2-meter Blast. Inferno Burns all Legal Targets.","Beauty - 3d4 - No Effect"
176,"Lava Plume",Fire,EOT,2,"Ranged (6)",SATK,3d10+12,"1 Target","Lava Plume Burns the target on 16-20 during Accuracy Check.","Tough - 2d4 - Round Starter"
177,"Magma Storm",Fire,Center,7,"Ranged (8)",SATK,5d12+18,"1 Target, Trap","Magma Storm Traps the target for 1d4+1 turns. At the beginning of the targetâ€™s turn, if the target is Trapped, roll 2d20 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Magma Storm may not trap more then one target at a time.","Tough - 2d4 - Reliable"
178,"Mystical Fire",Fire,Battle,2,"Ranged (8)",SATK,1d12+18,"1 Target","Mystical Fire lowers the targetâ€™s Special Attack 1 stage.","Beauty - 2d4 - Seen Nothing Yet"
179,Overheat,Fire,Center,4,"Ranged (2)",SATK,6d12+22,"No Target, Burst","Overheat creates a 2-meter Burst. Lower the userâ€™s Special Attack 2 Combat Stages after damage.","Beauty - 2d4 - Seen Nothing Yet"
180,"Sacred Fire",Fire,Center,3,"Ranged (7)",ATK,4d12+16,"1 Target, Burst","Sacred Fire creates a 7-meter Burst. Sacred Fire Burns all Legal Targets in the Burst on 11-20 during Accuracy Check.","Beauty - 2d4 - Seen Nothing Yet"
181,"Searing Shot",Fire,Center,2,"Ranged (10)",SATK,4d12+16,"1 Target","Searing Shot Burns the Target on 15-20 during Accuracy Check.","Beauty - 2d4 - Round Starter"
182,"Sunny Day",Fire,Battle,0,Effect,,,"Target Area, Weather","For 1d4+1 rounds, the area is considered Sunny. While Sunny, Fire-Type attacks deal 1.5x damage. Water-Type attacks deal Â½ the damage they normally would.","Beauty - 2d4 - Hold That Thought"
183,V-Create,Fire,Center,5,Melee,ATK,8d10+36,"No Target, Burst","V-Create creates a 10-meter Burst. Lower the userâ€™s Defense 1 Combat Stage, lower the userâ€™ Special Defense 1 Combat Stage and lower the userâ€™s Speed 1 Combat Stage.","Beauty - 2d4 - Seen Nothing Yet"
184,Will-O-Wisp,Fire,Battle,4,"Ranged (10)",,,"1 Target","The target is Burned.","Beauty - None - Round starter"
185,Acrobatics,Flying,Battle,2,Melee,ATK,2d10+8,"1 Target","If the user is not holding an item, Acrobatics deals 4d12+16 instead during Damage Dice Roll.","Smart - 2d4 - Incentives"
186,"Aerial Ace",Flying,EOT,0,Melee,ATK,2d10+8,"1 Target, Pass","Aerial Ace cannot miss.","Cool - 2d4 - Round Starter"
187,Aeroblast,Flying,Center,3,"Ranged (20)",SATK,4d12+16,"1 Target, Column","Aeroblast creates a Column 2-meters wide. Aeroblast is a Critical Hit on 11-20 during Accuracy Check.","Cool - 2d4 - Seen Nothing Yet"
188,"Air Cutter",Flying,At-Will,2,"Ranged (8)",SATK,2d10+8,"1 Target","Air Cutter is a Critical Hit on 18-20 during Accuracy Check.","Cool - 3d4 - No Effect"
189,"Air Slash",Flying,EOT,3,"Ranged (8)",SATK,3d10+12,"1 Target","Air Slash Flinches the target on 15-20 during Accuracy Check.","Cool - 2d4 - Round Starter"
190,Bounce,Flying,Battle,4,Melee,ATK,3d12+14,"1 Target, Burst","Once you declare the use of Bounce, the user is moved up to 10-meters into the air and then the userâ€™s turn ends. On your next turn, shift while in the air, lower your height back to the ground, and then use Bounceâ€™s damage and the rest of its Effect. Bounce creates a Burst equal half the userâ€™s Weight Class. Bounce Paralyzes all Legal Targets on 17-20 during Accuracy Check.<br/>Grants: Jump +1","Cute - 1d4 - Special Attention"
191,"Brave Bird",Flying,EOT,2,Melee,ATK,5d12+18,"1 Target, Dash, Push, Recoil 1/3","The target is pushed back 5-meters. The target takes an additional 1d6 if it is Pushed into Blocking Terrain. If the target is pushed into another Legal Target, instead, both take 1d6. After Brave Bird deals damage, Recoil.","Cute - 2d4 - Round Ender"
192,Chatter,Flying,EOT,2,"Ranged (4)",SATK,2d10+8,"1 Target, Column, Sound","Chatter creates a Column 1 meter wide. Chatter Confuses all Legal Targets.","Smart - 1d4 - Catching Up"
193,Defog,Flying,EOT,0,Effect,,,"Target Area, Weather","For 1d4+1 rounds, the area is considered Clear. While Clear, all hindering terrain is no longer hindering terrain and all bonuses or penalties to Accuracy Checks are ignored. All Walls, Coats and Hazards are destroyed.","Beauty - 2d4 - Hold That Thought"
194,"Drill Peck",Flying,EOT,2,Melee,ATK,3d10+12,"1 Target, Dash",,"Cool - 3d4 - No Effect"
195,"Feather Dance",Flying,EOT,2,"Ranged (10)",,,"1 Target, Blast","Feather Dance creates a 1-meter Blast. All Legal Targets in the Blast have their Attack lowered 2 Combat Stages.","Beauty - 2d4 - Excitement"
196,Fly,Flying,EOT,3,Melee,ATK,3d12+14,"1 Target, Dash, Set Up","Once you declare the use of Fly, the user is shifted 25-meters into the air and then the userâ€™s turn ends. On your next turn, shift while in the air, lower the user back to the targetâ€™s level on the battlefield, then use Flyâ€™s damage.<br/>Grants: Sky +3","Smart - 1d4 - Special Attention"
197,Gust,Flying,At-Will,2,"Ranged (10)",SATK,1d12+6,"1 Target","If the target is airborne as a result of Fly or Sky Drop, Gust can hit them, ignoring Range and deals 2d12+16 for its Damage Dice Roll instead.<br/>Grants: Guster","Smart - 3d4 - No Effect"
198,Hurricane,Flying,Battle,6,"Ranged (8)",SATK,5d12+18,"1 Target, Blast","Hurricane creates a 4-meter Blast. Hurricane Confuses all Legal Targets on 13-20 during Accuracy Check. All Legal Targets within the Blastâ€™s radius are Pushed outward, away from the target, 3-meters. If the target is in Sunny Weather, Hurricaneâ€™s Accuracy Check is 11. If the target is in Rainy Weather, Hurricane cannot miss. If the target is airborne as a result of Fly or Sky Drop, Hurricane cannot miss them.","Cool - 2d4 - Round Starter"
199,"Mirror Move",Flying,Center,0,"Ranged (15)",,"See Effect","1 Target","Use the Move the target has used on their last turn. You may choose new targets for the Move. Mirror Move cannot miss.","Smart - 2d4 - Final Appeal"
200,"Oblivion Wing",Flying,Battle,4,"Ranged (10)",SATK,4d12+17,"1 Target","After the target takes damage, the user gains HP equal to 3/4th the damage they dealt to the target.","Cool - 3d4 - No Effect"
201,Peck,Flying,At-Will,2,Melee,ATK,1d12+6,"1 Target",,"Cool - 3d4 - No Effect"
202,Pluck,Flying,EOT,2,Melee,ATK,2d10+8,"1 Target","If the target is holding a Berry, Pluck deals an additional 2d10 during Damage Dice Roll and Pluck destroys the Berry then Pluckâ€™s user uses the Berryâ€™s effect.","Cute - None - Attention Grabber"
203,Roost,Flying,Center,0,Self,,,"No Target","The user regains HP equal to half of its full HP. The user looses any resistances or immunities to Ground-type Moves until the end of their next turn.","Cool - None - Torrential Appeal"
204,"Sky Attack",Flying,Battle,4,Melee,ATK,6d12+22,"1 Target, Pass","Once you declare the use of Sky Attack, the user is moved 10-meters into the air and then the userâ€™s turn ends. On your next turn, shift while in the air, lower your height back to the target and then use Sky Attackâ€™s damage. Sky Attack Flinches the target on 17-20 during Accuracy Check.","Cool - 1d4 - Special Attention"
205,"Sky Drop",Flying,Center,3,Melee,ATK,2d10+8,"1 Target, Set Up","Once you declare the use of Sky Drop, the user and target are moved 25-meters into the air, the Target is Trapped and then the userâ€™s turn ends. On your next turn, shift while in the air, lower both the user and the targetâ€™s heights back to the ground, then use Sky Dropâ€™s damage and the target is no longer Trapped. This move does not damage Flying type pokemon. If used without following up with the rest of Sky Dropâ€™s actions on the turn following its use, Lower the user and the target back down, do not use Sky Dropâ€™s damage and the target is no longer Trapped.","Smart - 1d4 - Special Attention"
206,Tailwind,Flying,At-Will,0,Effect,,,"Target Area, Column","Tailwind creates a Column 5-meters wide. For 1d6+1 turns, Tailwindâ€™s user and all of the userâ€™s allies in the Column have their Speed raised 1 Combat Stage. When the user or the userâ€™s allies leave the Column or when the Column dissapears, their Speed is lowered 1 Combat Stage. Whenever you make a new Tailwind Cloumn, the last one the user made disappears.<br/>Grants: Guster","Smart - 2d4 - Quick Set"
207,"Wing Attack",Flying,At-Will,2,Melee,ATK,2d10+8,"1 Target, Pass",,"Cool - 3d4 - No Effect"
208,Astonish,Ghost,EOT,2,Melee,ATK,1d10+4,"1 Target","Astonish Flinches the target on 18-20 during Accuracy Check.","Smart - 3d4 - No Effect"
209,"Confuse Ray",Ghost,Center,0,"Ranged (10)",,,"1 Target, Column","Confuse Ray creates a Column 1 meter wide. Confuse Ray cannot miss. All targets are Confused.","Smart - 2d4 - Unsettling"
210,Curse,Ghost,Center,0,"Ranged (4)",,"","1 Target","The user loses Â½ of their full HP and the target Pokemon is Cursed. A Cursed Pokemon loses 1/8th of their full HP at the beginning of each of their turns. Do not apply weakness, resistance or stats to the lost HP. If: User is Not Ghost Type EOT - None Effect - Self Effect: No Target The userâ€™s Speed is lowered 1 Combat Stage. The userâ€™s Attack is raised 1 Combat Stage and the userâ€™s Defense is raised 1 Combat Stage.","Tough - None - Torrential Appeal"
211,"Destiny Bond",Ghost,Center,0,"Ranged (20)",,,"1 Target, Intercept","When the user faints after taking damage from a Move, you may use Destiny Bond as an Intercept to target the Pokemon who lowered the user to 0 HP or less. Roll 1d20, on a roll of 6 or better the target is set to 0 HP.","Smart - None - Big Show"
212,Grudge,Ghost,Center,0,"Ranged (20)",,,"1 Target, Intercept","When the user faints, you may use Grudge as an Intercept. The Move that caused the user to drop to 0 HP or less has its Frequency changed to Center for 1 hour.","Tough - 2d4 - Unsettling"
213,Hex,Ghost,Battle,2,"Ranged (8)",SATK,2d8+6,"1 Target","If the target has a status affliction, Hex deals 4d12+16 instead during Damage Dice Roll.","Smart - 2d4 - Incentives"
214,Lick,Ghost,At-Will,2,Melee,ATK,1d6+3,"1 Target","Lick Paralyzes the target on 15-20 during Accuracy Check.","Tough - None - Inversed Appeal"
215,"Night Shade",Ghost,Center,2,"Ranged (8)",,,"1 Target","The target loses HP equal to the level of Night Shadeâ€™s user. Do not apply weakness or resistance. Do not apply stats.","Smart - 3d4 - No Effect"
216,Nightmare,Ghost,EOT,2,Melee,,,"1 Target","Nightmare can only hit Legal Targets that are Asleep. Nightmare gives a special affliction, Bad Sleep. Bad Sleep makes a target lose Â¼ of its full HP per turn while it is Bad Sleeping. When the target wakes up, they are cured of Bad Sleep.","Smart - 2d4 - Excitement"
217,"Ominous Wind",Ghost,Battle,2,"Ranged (10)",SATK,2d10+8,"1 Target, Column, Spirit Surge","Ominous Wind creates a Column that is 2-meters wide. If you rolled 11-20 during Accuracy Check for Ominous Wind, the user has each of its stats raised 1 Combat Stage. If you rolled 16-20 on the Accuracy Roll, all allies in the Column also have each of their stats raised 1 Combat Stage and are not damaged by Ominous Wind.","Smart - None - Get Ready!"
218,"Phantom Force",Ghost,Battle,2,Melee,ATK,3d12+19,"1 Target, Set Up","Once you declare the use of Phantom Force, the user is removed from the field and the userâ€™s turn ends. On the next turn, Phantom Forceâ€™s user appears adjacent to any target, ignoring Speed Capabilties, and then uses Phantom Forceâ€™s damage.","Smart - 2d4 - Seen Nothing Yet"
219,"Shadow Ball",Ghost,EOT,2,"Ranged (10)",SATK,3d10+12,"1 Target","Shadow Ball lowers the foeâ€™s Special Defense 1 Combat Stage on 17-20 during Accuracy Check.","Smart - 2d4 - Round Starter"
220,"Shadow Claw",Ghost,EOT,2,Melee,ATK,3d8+10,"1 Target, Pass","Shadow Claw is a Critical Hit on 18-20 during Accuracy Check.","Cute - 2d4 - Round Starter"
221,"Shadow Force",Ghost,Center,2,Melee,ATK,5d12+18,"1 Target, Set Up","Once you declare the use of Shadow Force, the user is removed from the field and the userâ€™s turn ends. On the next turn, Shadow Forceâ€™s user appears adjacent to any target, ignoring Speed Capabilties, and then uses Shadow Forceâ€™s damage.","Smart - 2d4 - Seen Nothing Yet"
222,"Shadow Punch",Ghost,EOT,0,"Ranged (6)",ATK,2d10+8,"1 Target","Shadow Punch cannot miss.","Smart - 2d4 - Round Starter"
223,"Shadow Sneak",Ghost,At-Will,2,Melee,ATK,1d12+6,"1 Target, Pass, Interrupt","If a foe wants to declare a Move, you may instead use Shadow Sneak on their turn before they can use their Move.","Smart - 2d4 - Quick Set"
224,Spite,Ghost,Battle,2,"Ranged (15)",,,"1 Target","Spite lowers the targetâ€™s last moveâ€™s Frequency for the remainder of the encounter. EOT Frequency Moves are changed into Battle Frequency. At-Will Frequency Moves are changed into EOT Frequency. Spite may not target the same targetâ€™s Move more then once per encounter.","Tough - 2d4 - Excitement"
225,Trick-or-Treat,Ghost,Battle,2,"Ranged (5)",,,"1 Target","For 1d4+1 turns, the target gains the Ghost Type if it isnâ€™t already, in addition to its other type(s). The target can have up to 3 types as a result of Trick-or-Treat.","Smart - None - Torrential Appeal"
226,Absorb,Grass,At-Will,2,Melee,SATK,1d6+3,"1 Target","After the target takes damage, the user gains HP equal to half of the damage they dealt to the target.","Smart - 1d4 - Good Show!"
227,Aromatherapy,Grass,Battle,2,"Ranged (10)",SATK,,"1 Target","The target has 1 status effect of their choice removed. Aromatherapy cannot miss.","Smart - None - Reflective Appeal"
228,"Bullet Seed",Grass,At-Will,4,"Ranged (8)",ATK,1d10+4,"1 Target, Scatter","Bullet Seed can hit up to 5 times. Once the user misses, they cannot attempt to make another Bullet Seed attack on that turn.","Cool - 2d4 - Reliable"
229,"Cotton Guard",Grass,Battle,0,Self,,,"No Target","Raise the userâ€™s Defense 3 Combat Stages.","Cute - None - Get Ready!"
230,"Cotton Spore",Grass,EOT,2,"Ranged (10)",,,"1 Target, Blast","Cotton Spore creates a 2-meter Blast. All Legal Targets have their Speed lowered 2 Combat Stages.","Beauty - 2d4 - Quick Set"
231,"Energy Ball",Grass,Battle,2,"Ranged (8)",SATK,3d12+14,"1 Target","Energy Ball lowers the foeâ€™s Special Defense 1 Combat Stage on 17-20 during Accuracy Check.","Beauty - 2d4 - Round Starter"
232,"Forestâ€™s Curse",Grass,Battle,2,"Ranged (5)",,,"1 Target","For 1d4+1 turns, the target gains the Grass Type if it isnâ€™t already, in addition to its other type(s). The target can have up to 3 types as a result of Forestâ€™s Curse.","Smart - None - Torrential Appeal"
233,"Frenzy Plant",Grass,Center,4,"Ranged (15)",SATK,7d10+28,"Target Area, Blast, Exhaust","Frenzy Plant creates a 3-meter Blast. On Miss, Frenzy Plant deals the userâ€™s Special Attack instead to all possible targets.","Cool - 2d4 - Seen Nothing Yet"
234,"Giga Drain",Grass,Battle,2,"Ranged (4)",SATK,3d10+12,"1 Target","After the target takes damage, the user gains HP equal to half of the damage they dealt to the target.","Smart - 1d4 - Good Show!"
