id,name,activation,limit,keyword,effect
190,Unaware,Static,,,"When the pokemon is attacking or being attacked, it ignores all Combat Stages on the relevant target or attacker"
191,Unbreakable,Trigger,,,Steel
192,Unburden,Trigger,,,"After consuming a held item, the Pokemonâ€™s Speed is raised 2 Combat Stages."
193,Unnerve,Static,,,"During battle, as long as you have a line of sight to a foe, that foe may not eat or drink anything. This includes berries, vitamins, or anything else that must be eaten to affect the foe."
194,Venom,Trigger,,,Poison
195,"Victory Star",Static,,,"Any allied Pokemon in the encounter will require -2 to hit during any Accuracy Check."
196,"Vital Spirit",Static,,,Sleep
197,"Volt Absorb",Trigger,,,"After calculating damage that would be dealt from an Electric Type Move that hit the Pokemon, heal the Pokemon half of what it would have been dealt, instead of damaging the Pokemon. Do this before applying Defense but after applying weakness and resistance."
198,"Water Absorb",Trigger,,,"After calculating damage that would be dealt from an Water Type Move that hit the Pokemon, heal the Pokemon half of what it would have been dealt instead of damaging the Pokemon. Do this before applying Defense but after applying weakness and resistance."
199,"Water Veil",Static,,,Burns
200,"Weak Armor",Trigger,,,"Whenever the user is hit by an attack that consults the userâ€™s Defense stat, the user may lower its Defense Combat Stage one level in order to raise its Speed Combat Stage one level."
201,"White Smoke",Static,,,"The userâ€™s Combat Stages may not be lowered."
202,"Wonder Guard",Static,,,"Only damaging Moves that are Super-Effective hit the Pokemon with Wonder Guard, all other moves always deal 0 damage. Wonder Guard does not work if the Pokemon who has it has no weaknesses. Only Shedinja and Arceus may ever have the ability Wonder Guard. Wonder Guard loses its effect if the user has no weaknesses."
203,"Wonder Skin",Static,,,"Whenever a Ranged - No Damage or Melee - No Damage move that causes Paralysis, Poisoning, Bad Poisoning, a Burn, Sleep, Confusion, Attraction, Disable, or any other major or minor status affliction is used against this Pokemon and the Move successfully hits, flip a coin. On heads, this Pokemon ignores the affliction it would have received; on tails the Pokemon is hit as usual."
204,"Zen Mode",Cast,At-Will,,"Keep two sets of Base Stats for Darmanitan, the first set of Base Stats are its normal stats while the second will be referred to during Zen Mode. The HP Stat for both sets of Base Stats must be the same. If Darmanitan has its Base Stats altered in any way, both sets of Base Stats are affected. As a free action, Darmanitan may activate Zen Mode if it is at less than 50% of its full HP. Darmanitan may change back from Zen Mode as a free action. Darmanitan may switch from one form to another once per encounter."
